1000 45930
0 6 445
0 19 42
0 41 960
0 54 75
0 62 199
0 82 268
0 104 267
0 118 838
0 132 233
0 133 312
0 143 315
0 145 592
0 147 624
0 149 877
0 151 492
0 153 872
0 172 636
0 174 982
0 177 158
0 220 268
0 222 566
0 265 604
0 277 674
0 299 38
0 321 784
0 345 84
0 369 479
0 375 706
0 388 466
0 395 860
0 413 528
0 415 92
0 422 346
0 461 261
0 501 507
0 513 558
0 514 796
0 517 44
0 532 710
0 535 889
0 554 977
0 565 487
0 570 150
0 576 712
0 608 974
0 610 317
0 625 919
0 654 294
0 658 752
0 674 591
0 683 578
0 684 913
0 694 318
0 697 852
0 719 899
0 742 63
0 753 873
0 776 146
0 785 25
0 793 225
0 795 671
0 824 198
0 826 694
0 836 80
0 857 825
0 864 166
0 879 306
0 884 523
0 901 288
0 929 869
0 933 125
0 935 745
0 940 324
0 947 717
0 967 169
0 969 202
0 970 887
1 2 611
1 25 473
1 27 606
1 36 646
1 55 718
1 72 915
1 86 974
1 100 882
1 105 847
1 135 177
1 140 406
1 148 884
1 150 608
1 156 977
1 162 669
1 164 835
1 184 770
1 187 218
1 196 244
1 210 521
1 214 581
1 216 170
1 225 736
1 227 923
1 231 501
1 255 590
1 264 842
1 295 493
1 297 432
1 301 808
1 305 421
1 324 465
1 327 224
1 343 338
1 347 913
1 382 882
1 391 623
1 393 260
1 395 466
1 401 487
1 403 6
1 407 743
1 414 333
1 421 351
1 429 856
1 444 129
1 447 157
1 456 645
1 478 511
1 513 368
1 532 698
1 550 471
1 553 340
1 558 809
1 560 404
1 595 819
1 598 174
1 614 731
1 630 762
1 631 268
1 642 112
1 675 251
1 694 566
1 696 753
1 698 747
1 704 48
1 716 875
1 745 372
1 754 332
1 755 601
1 794 676
1 797 232
1 804 677
1 808 378
1 810 985
1 822 367
1 826 948
1 837 988
1 845 718
1 846 805
1 885 150
1 891 36
1 901 731
1 906 18
1 950 445
1 961 977
1 970 43
1 974 142
1 976 636
1 980 3
2 11 408
2 21 902
2 23 538
2 24 474
2 88 311
2 92 259
2 95 710
2 117 452
2 132 415
2 139 450
2 140 973
2 149 756
2 155 272
2 162 171
2 187 800
2 193 83
2 208 797
2 221 509
2 250 329
2 263 413
2 264 198
2 278 583
2 301 428
2 304 748
